exp_id,timestamp,step,model,dataset_label,config_hash,seed,colset,n_cols,rounds,base,MedianGain,WinRate,P10Gain,WorstGain,rmse_cells,mae_cells,e0_cells,gain_cells,train_device,decision,note
20260831_214350_loop_lgbm_ret_240,2026-08-31T21:43:50,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,ret_240,78,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.0247232222036597,0.3333333333333333,-0.1434028878884108,-0.6636527006196546,"[[44.9252, 62.6709, 76.1786], [51.2302, 70.4943, 84.1635], [57.6479, 82.9466, 100.5032], [84.8517, 117.3952, 143.2295], [102.3259, 131.3284, 149.8219]]","[[30.0876, 42.8363, 52.147], [34.8028, 48.7186, 58.2766], [36.981, 54.7445, 67.2383], [55.9214, 76.9496, 95.3362], [51.302, 71.4427, 87.0552]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.0213, -0.0409, -0.0143], [-0.0567, 0.161, 0.0383], [0.0478, -0.6637, -0.0247], [0.0023, 0.051, -0.137], [-0.095, -0.1477, -0.0525]]",GPU,KEEP,
20260831_214400_loop_lgbm_ret_1440,2026-08-31T21:44:00,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,ret_1440,79,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.0572314222716086,0.3333333333333333,-0.1338049267943297,-0.2233861189873121,"[[44.9516, 62.7121, 76.2891], [51.263, 70.4187, 84.1516], [57.4649, 82.762, 100.6062], [84.9003, 117.4289, 143.2329], [102.2448, 131.6217, 149.9969]]","[[30.1036, 42.8545, 52.2627], [34.8053, 48.7977, 58.2679], [36.9018, 54.6308, 67.3246], [55.9357, 77.0107, 95.3997], [51.3962, 71.6115, 87.0597]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.0586, -0.0658, -0.1451], [-0.0641, 0.1072, 0.0141], [0.3176, 0.2225, -0.1025], [-0.0572, -0.0288, -0.0024], [0.0792, -0.2234, -0.1168]]",GPU,KEEP,
20260831_214412_loop_lgbm_log_rv15_rv240,2026-08-31T21:44:12,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,log_rv15_rv240,80,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,0.0242052900560785,0.6,-0.1865987635464971,-0.2995897262241032,"[[44.9303, 62.596, 76.2351], [51.2506, 70.3666, 84.0307], [57.5541, 82.9294, 100.6449], [84.8817, 117.4846, 143.1257], [102.5511, 131.2981, 150.2415]]","[[30.0686, 42.7687, 52.1228], [34.8103, 48.7003, 58.1091], [37.0092, 54.661, 67.3429], [55.9184, 76.975, 95.2176], [51.448, 71.2795, 87.2986]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.0473, 0.1852, 0.0708], [0.0242, 0.074, 0.1437], [-0.1553, -0.2023, -0.0385], [0.0219, -0.0474, 0.0748], [-0.2996, 0.2459, -0.1631]]",GPU,KEEP,
20260831_214423_loop_lgbm_log_rv60_rv1440,2026-08-31T21:44:23,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,log_rv60_rv1440,81,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,0.0092472607794324,0.5333333333333333,-0.1497029230666724,-0.1855770107946019,"[[44.9317, 62.7034, 76.1709], [51.3069, 70.4972, 84.0047], [57.6214, 82.7335, 100.6347], [84.8739, 117.24, 143.2555], [102.389, 131.3561, 150.1975]]","[[30.0885, 42.8238, 52.1127], [34.8605, 48.8214, 58.2917], [36.9509, 54.6498, 67.3519], [55.9104, 76.8063, 95.342], [51.3284, 71.328, 87.2702]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.003, -0.1715, 0.0842], [-0.1099, -0.1856, 0.0309], [-0.117, 0.2362, 0.0102], [0.0092, 0.2082, -0.0907], [0.1581, -0.0442, 0.0293]]",GPU,KEEP,
20260831_214434_loop_lgbm_ret_skew_60,2026-08-31T21:44:34,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,ret_skew_60,82,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,0.0739873703937021,0.8,-0.0477334439347787,-0.0740027993898051,"[[44.9649, 62.6623, 76.1055], [51.2667, 70.4715, 84.0669], [57.5114, 82.5116, 100.5118], [84.8604, 117.1796, 143.1495], [102.2236, 131.3674, 149.8362]]","[[30.0989, 42.859, 52.0866], [34.864, 48.7248, 58.2271], [36.929, 54.4696, 67.3042], [55.9253, 76.8865, 95.3975], [51.3121, 71.3853, 87.0502]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.0739, 0.0654, 0.0858], [0.0784, 0.0365, -0.074], [0.1909, 0.2682, 0.1221], [0.0158, 0.0515, 0.074], [0.1616, -0.0086, 0.2405]]",GPU,KEEP,
20260831_214447_loop_lgbm_dd_240,2026-08-31T21:44:47,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,dd_240,83,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.0202088159240387,0.4,-0.1545784188146104,-0.3280047845795719,"[[44.9451, 62.7813, 76.1828], [51.2771, 70.4267, 84.1085], [57.3681, 82.4373, 100.8415], [84.8714, 117.2747, 143.2498], [102.283, 131.2746, 149.771]]","[[30.1032, 42.8883, 52.143], [34.8604, 48.7111, 58.2118], [36.9117, 54.5128, 67.4619], [55.9257, 76.8037, 95.4065], [51.4057, 71.3462, 87.1517]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.0438, -0.1899, -0.1016], [-0.0202, 0.0635, -0.0495], [0.2492, 0.0901, -0.328], [-0.0129, -0.0812, -0.0701], [-0.0582, 0.0706, 0.0435]]",GPU,KEEP,
20260831_214458_loop_lgbm_ru_240,2026-08-31T21:44:58,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,ru_240,84,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.039349980646719,0.3333333333333333,-0.2727789976846129,-0.5571563920048206,"[[44.9106, 62.6196, 76.1357], [51.3126, 70.4511, 84.2849], [57.6878, 82.6968, 100.928], [84.8848, 117.3666, 143.1542], [101.9863, 131.5221, 149.83]]","[[30.0892, 42.8311, 52.1398], [34.8608, 48.7674, 58.3809], [37.0264, 54.6268, 67.3494], [55.9354, 76.8457, 95.3351], [51.3222, 71.5256, 87.1318]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.0769, 0.2575, 0.0618], [-0.0693, -0.0347, -0.2097], [-0.5572, -0.3148, -0.0857], [-0.0158, -0.0784, 0.0667], [0.2902, -0.1885, -0.0393]]",GPU,KEEP,
20260831_214510_loop_lgbm_log_c_ema60,2026-08-31T21:45:10,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,log_c_ema60,85,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,0.0143878938871022,0.5333333333333333,-0.1209502316261579,-0.1847348979127305,"[[44.9406, 62.6423, 76.2175], [51.2268, 70.5427, 83.9462], [57.3953, 82.6001, 100.9587], [84.8959, 117.3497, 143.0944], [102.1747, 131.2029, 149.7609]]","[[30.0828, 42.8068, 52.1801], [34.7822, 48.9455, 58.1274], [36.8749, 54.5293, 67.3612], [55.9416, 76.9764, 95.2756], [51.3315, 71.4885, 87.0352]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.0668, -0.0362, -0.1074], [0.1672, -0.13, 0.4019], [0.507, 0.117, -0.0304], [-0.0131, 0.0144, 0.0418], [-0.1847, 0.2426, 0.0461]]",GPU,KEEP,
20260831_214522_loop_lgbm_log_c_ema240,2026-08-31T21:45:22,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,log_c_ema240,86,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.0348896883544558,0.3333333333333333,-0.2758424130791281,-0.3349286059235012,"[[44.9401, 62.6055, 76.2441], [51.1329, 70.4511, 84.1951], [57.5875, 82.8023, 100.9396], [84.9046, 117.4177, 143.1785], [102.3167, 131.357, 149.7922]]","[[30.0741, 42.7742, 52.1904], [34.746, 48.7927, 58.3056], [36.9704, 54.6351, 67.4033], [55.9406, 76.9699, 95.3194], [51.3618, 71.4125, 86.9836]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.0011, 0.0587, -0.0349], [0.1833, 0.1298, -0.2965], [-0.3349, -0.2448, 0.0189], [-0.0102, -0.0579, -0.0587], [-0.139, -0.1174, -0.0209]]",GPU,KEEP,
20260831_214533_loop_lgbm_log_c_ema1440,2026-08-31T21:45:33,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,log_c_ema1440,87,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,0.0428514615406716,0.5333333333333333,-0.1859823133608618,-0.2551600847633395,"[[44.9201, 62.6744, 76.2517], [51.2634, 70.3973, 84.1078], [57.4777, 82.9982, 100.8963], [84.9072, 117.3029, 143.2706], [102.2443, 131.3899, 149.6282]]","[[30.0569, 42.8245, 52.2263], [34.8443, 48.7732, 58.3411], [36.9525, 54.7884, 67.2981], [55.9299, 76.9077, 95.4314], [51.4013, 71.4473, 86.9416]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.0443, -0.11, -0.01], [-0.2552, 0.0763, 0.1036], [0.1907, -0.2366, 0.0429], [-0.0032, 0.0977, -0.0643], [0.0707, -0.025, 0.1095]]",GPU,KEEP,
20260831_214544_loop_lgbm_log_ema60_ema240,2026-08-31T21:45:44,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,log_ema60_ema240,88,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.0208277807887791,0.4,-0.0818348420274128,-0.1530742543123908,"[[44.9208, 62.5945, 76.2676], [51.2518, 70.5051, 84.1689], [57.5282, 82.991, 100.9562], [84.865, 117.3842, 143.3236], [102.2964, 131.3565, 149.5278]]","[[30.1179, 42.7629, 52.2422], [34.8248, 48.8253, 58.3635], [36.9336, 54.7221, 67.4183], [55.9072, 76.9803, 95.4948], [51.3325, 71.3607, 86.8499]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.0015, 0.1274, -0.0208], [0.0225, -0.1531, -0.0726], [-0.088, 0.0087, -0.0594], [0.0498, -0.0692, -0.037], [-0.0509, 0.0254, 0.0671]]",GPU,KEEP,
20260831_214554_loop_lgbm_hma_slope64_volnorm,2026-08-31T21:45:54,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,hma_slope64_volnorm,89,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.0572862035367549,0.4,-0.1069649375914849,-0.1706663488275195,"[[44.9551, 62.7013, 76.1851], [51.2848, 70.3788, 84.2125], [57.582, 83.0386, 101.0288], [84.859, 117.328, 143.2554], [102.3871, 131.2121, 149.7013]]","[[30.1103, 42.856, 52.1727], [34.867, 48.7754, 58.4023], [36.9797, 54.8227, 67.4518], [55.9181, 76.9652, 95.4437], [51.4465, 71.3516, 87.1453]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.0762, -0.1707, 0.1081], [-0.0643, 0.1792, -0.0519], [-0.0934, -0.0573, -0.0719], [0.0071, 0.0478, 0.0476], [-0.0886, 0.1099, -0.116]]",GPU,KEEP,
20260831_214604_loop_lgbm_rsi240_centered,2026-08-31T21:46:04,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,rsi240_centered,90,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.0054912986791499,0.4666666666666667,-0.1629653263523645,-0.2794285074418035,"[[44.8985, 62.6489, 76.1415], [51.2926, 70.3901, 84.2703], [57.7429, 83.0339, 101.0344], [84.8772, 117.31, 143.0727], [102.2278, 131.4684, 149.8725]]","[[30.0734, 42.8122, 52.187], [34.8526, 48.7631, 58.4776], [37.0837, 54.8392, 67.3809], [55.9348, 76.9435, 95.3232], [51.3824, 71.4538, 87.145]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.1258, 0.0836, 0.0573], [-0.0151, -0.0161, -0.0685], [-0.2794, 0.0056, -0.0055], [-0.0216, 0.0153, 0.1275], [0.1555, -0.1954, -0.1144]]",GPU,KEEP,
